 ,X,Y,BX,BY,Width,Height
1,167,6,167,6,1,1
2,171,33,171,33,1,1
3,166,24,166,24,1,1
4,171,15,171,15,1,1
5,169,51,169,51,1,1
6,165,60,165,60,1,1
7,166,42,166,42,1,1
8,169,122,169,122,1,1
9,168,113,168,113,1,1
10,173,104,173,104,1,1
11,173,86,173,86,1,1
12,176,192,176,192,1,1
13,167,140,167,140,1,1
14,184,326,184,326,1,1
15,181,284,181,284,1,1
16,178,233,178,233,1,1
17,178,208,178,208,1,1
18,177,200,177,200,1,1
19,170,166,170,166,1,1
20,160,78,160,78,1,1
21,174,68,174,68,1,1
22,184,300,184,300,1,1
23,183,292,183,292,1,1
24,180,258,180,258,1,1
25,177,267,177,267,1,1
26,178,250,178,250,1,1
27,173,242,173,242,1,1
28,166,157,166,157,1,1
29,177,148,177,148,1,1
30,176,130,176,130,1,1
31,174,95,174,95,1,1
32,188,344,188,344,1,1
33,188,335,188,335,1,1
34,184,317,184,317,1,1
35,177,174,177,174,1,1
36,184,308,184,308,1,1
37,171,225,171,225,1,1
38,190,275,190,275,1,1
39,178,183,178,183,1,1
40,179,216,179,216,1,1
