 ,X,Y,BX,BY,Width,Height
1,140,298,140,298,1,1
2,140,271,140,271,1,1
3,141,254,141,254,1,1
4,140,342,140,342,1,1
5,140,333,140,333,1,1
6,138,324,138,324,1,1
7,143,307,143,307,1,1
8,141,289,141,289,1,1
9,141,227,141,227,1,1
10,139,315,139,315,1,1
11,139,280,139,280,1,1
12,138,262,138,262,1,1
13,144,245,144,245,1,1
14,139,218,139,218,1,1
15,144,210,144,210,1,1
16,139,197,139,197,1,1
17,147,161,147,161,1,1
18,146,135,146,135,1,1
19,145,126,145,126,1,1
20,143,100,143,100,1,1
21,145,57,145,57,1,1
22,146,48,146,48,1,1
23,140,236,140,236,1,1
24,142,192,142,192,1,1
25,144,179,144,179,1,1
26,141,144,141,144,1,1
27,144,109,144,109,1,1
28,142,92,142,92,1,1
29,144,74,144,74,1,1
30,144,66,144,66,1,1
31,140,346,140,346,1,1
32,142,174,142,174,1,1
33,143,156,143,156,1,1
34,144,83,144,83,1,1
35,147,40,147,40,1,1
36,147,31,147,31,1,1
37,143,118,143,118,1,1
38,147,23,147,23,1,1
39,147,14,147,14,1,1
40,147,5,147,5,1,1
41,144,1,144,1,1,1
