 ,X,Y,BX,BY,Width,Height
1,189,340,189,340,1,1
2,188,332,188,332,1,1
3,187,220,187,220,1,1
4,186,212,186,212,1,1
5,188,349,188,349,1,1
6,188,324,188,324,1,1
7,185,308,185,308,1,1
8,185,300,185,300,1,1
9,187,292,187,292,1,1
10,189,260,189,260,1,1
11,186,252,186,252,1,1
12,187,244,187,244,1,1
13,186,180,186,180,1,1
14,184,148,184,148,1,1
15,187,317,187,317,1,1
16,186,284,186,284,1,1
17,185,276,185,276,1,1
18,188,268,188,268,1,1
19,186,236,186,236,1,1
20,189,228,189,228,1,1
21,181,196,181,196,1,1
22,185,188,185,188,1,1
23,186,172,186,172,1,1
24,180,165,180,165,1,1
25,183,156,183,156,1,1
26,182,132,182,132,1,1
27,183,124,183,124,1,1
28,185,77,185,77,1,1
29,181,68,181,68,1,1
30,181,60,181,60,1,1
31,182,52,182,52,1,1
32,178,45,178,45,1,1
33,181,36,181,36,1,1
34,175,29,175,29,1,1
35,180,12,180,12,1,1
36,186,204,186,204,1,1
37,183,140,183,140,1,1
38,181,116,181,116,1,1
39,180,109,180,109,1,1
40,181,100,181,100,1,1
41,183,92,183,92,1,1
42,180,85,180,85,1,1
43,178,21,178,21,1,1
44,180,4,180,4,1,1
