 ,X,Y,BX,BY,Width,Height
1,134,3,134,3,1,1
2,126,53,126,53,1,1
3,133,20,133,20,1,1
4,129,11,129,11,1,1
5,116,187,116,187,1,1
6,122,95,122,95,1,1
7,123,78,123,78,1,1
8,129,45,129,45,1,1
9,116,238,116,238,1,1
10,117,221,117,221,1,1
11,121,179,121,179,1,1
12,123,162,123,162,1,1
13,117,120,117,120,1,1
14,116,103,116,103,1,1
15,127,70,127,70,1,1
16,121,61,121,61,1,1
17,129,28,129,28,1,1
18,107,254,107,254,1,1
19,117,213,117,213,1,1
20,116,204,116,204,1,1
21,122,196,122,196,1,1
22,125,137,125,137,1,1
23,116,86,116,86,1,1
24,129,36,129,36,1,1
25,108,338,108,338,1,1
26,112,313,112,313,1,1
27,104,296,104,296,1,1
28,114,288,114,288,1,1
29,106,271,106,271,1,1
30,111,246,111,246,1,1
31,111,229,111,229,1,1
32,124,154,124,154,1,1
33,112,145,112,145,1,1
34,112,128,112,128,1,1
35,129,112,129,112,1,1
36,110,347,110,347,1,1
37,111,330,111,330,1,1
38,101,321,101,321,1,1
39,114,263,114,263,1,1
40,109,170,109,170,1,1
41,112,280,112,280,1,1
42,116,305,116,305,1,1
