 ,X,Y,BX,BY,Width,Height
1,136,159,136,159,1,1
2,136,150,136,150,1,1
3,134,196,134,196,1,1
4,135,187,135,187,1,1
5,135,169,135,169,1,1
6,134,178,134,178,1,1
7,136,141,136,141,1,1
8,136,132,136,132,1,1
9,133,214,133,214,1,1
10,134,205,134,205,1,1
11,136,123,136,123,1,1
12,130,233,130,233,1,1
13,130,224,130,224,1,1
14,136,115,136,115,1,1
15,136,105,136,105,1,1
16,136,81,136,81,1,1
17,128,242,128,242,1,1
18,136,95,136,95,1,1
19,135,90,135,90,1,1
20,136,62,136,62,1,1
21,125,261,125,261,1,1
22,132,251,132,251,1,1
23,136,87,136,87,1,1
24,136,71,136,71,1,1
25,136,53,136,53,1,1
26,125,270,125,270,1,1
27,136,44,136,44,1,1
28,125,288,125,288,1,1
29,126,279,126,279,1,1
30,136,34,136,34,1,1
31,121,307,121,307,1,1
32,125,297,125,297,1,1
33,136,25,136,25,1,1
34,119,325,119,325,1,1
35,121,316,121,316,1,1
36,121,334,121,334,1,1
37,118,344,118,344,1,1
38,136,16,136,16,1,1
39,136,7,136,7,1,1
40,120,360,0,0,0,0
