 ,X,Y,BX,BY,Width,Height
1,132,198,132,198,1,1
2,132,339,132,339,1,1
3,132,208,132,208,1,1
4,132,178,132,178,1,1
5,132,319,132,319,1,1
6,132,299,132,299,1,1
7,132,289,132,289,1,1
8,132,279,132,279,1,1
9,132,269,132,269,1,1
10,132,218,132,218,1,1
11,132,157,132,157,1,1
12,132,137,132,137,1,1
13,132,117,132,117,1,1
14,132,309,132,309,1,1
15,132,249,132,249,1,1
16,132,97,132,97,1,1
17,132,56,132,56,1,1
18,132,329,132,329,1,1
19,132,127,132,127,1,1
20,132,188,132,188,1,1
21,132,238,132,238,1,1
22,132,228,132,228,1,1
23,132,107,132,107,1,1
24,132,349,132,349,1,1
25,132,147,132,147,1,1
26,132,66,132,66,1,1
27,132,258,132,258,1,1
28,132,77,132,77,1,1
29,132,46,132,46,1,1
30,132,168,132,168,1,1
31,132,36,132,36,1,1
32,132,86,132,86,1,1
33,132,26,132,26,1,1
34,132,5,132,5,1,1
35,132,16,132,16,1,1
