 ,X,Y,BX,BY,Width,Height
1,122,23,122,23,1,1
2,119,91,119,91,1,1
3,120,68,120,68,1,1
4,120,57,120,57,1,1
5,122,293,122,293,1,1
6,120,225,120,225,1,1
7,120,158,120,158,1,1
8,122,147,122,147,1,1
9,121,316,121,316,1,1
10,122,271,122,271,1,1
11,118,169,118,169,1,1
12,112,34,112,34,1,1
13,114,0,114,0,1,1
14,116,203,116,203,1,1
15,122,248,122,248,1,1
16,121,278,121,278,1,1
17,121,232,121,232,1,1
18,120,211,120,211,1,1
19,119,188,119,188,1,1
20,117,180,117,180,1,1
21,122,347,122,347,1,1
22,121,338,121,338,1,1
23,122,323,122,323,1,1
24,121,303,121,303,1,1
25,121,255,121,255,1,1
26,118,131,118,131,1,1
27,117,121,117,121,1,1
28,117,109,117,109,1,1
29,114,101,114,101,1,1
30,116,75,116,75,1,1
31,112,42,112,42,1,1
32,114,6,114,6,1,1
