 ,X,Y,BX,BY,Width,Height
1,133,331,133,331,1,1
2,142,322,142,322,1,1
3,142,313,142,313,1,1
4,131,340,131,340,1,1
5,134,303,134,303,1,1
6,135,294,135,294,1,1
7,146,285,146,285,1,1
8,147,276,147,276,1,1
9,141,266,141,266,1,1
10,156,239,156,239,1,1
11,139,257,139,257,1,1
12,151,248,151,248,1,1
13,126,349,126,349,1,1
14,156,211,156,211,1,1
15,156,202,156,202,1,1
16,157,193,157,193,1,1
17,140,229,140,229,1,1
18,149,174,149,174,1,1
19,154,155,154,155,1,1
20,140,220,140,220,1,1
21,146,183,146,183,1,1
22,158,165,158,165,1,1
23,150,146,150,146,1,1
24,153,137,153,137,1,1
25,158,128,158,128,1,1
26,157,100,157,100,1,1
27,158,119,158,119,1,1
28,155,109,155,109,1,1
29,158,72,158,72,1,1
30,158,63,158,63,1,1
31,158,91,158,91,1,1
32,158,35,158,35,1,1
33,158,26,158,26,1,1
34,158,82,158,82,1,1
35,149,53,149,53,1,1
36,155,16,155,16,1,1
37,148,44,148,44,1,1
38,137,3,137,3,1,1
