 ,X,Y,BX,BY,Width,Height
1,123,6,123,6,1,1
2,130,26,130,26,1,1
3,128,17,128,17,1,1
4,131,46,131,46,1,1
5,135,65,135,65,1,1
6,135,55,135,55,1,1
7,130,35,130,35,1,1
8,137,74,137,74,1,1
9,116,0,116,0,1,1
10,143,102,143,102,1,1
11,138,84,138,84,1,1
12,141,92,141,92,1,1
13,145,140,145,140,1,1
14,145,130,145,130,1,1
15,140,112,140,112,1,1
16,147,149,147,149,1,1
17,146,120,146,120,1,1
18,151,177,151,177,1,1
19,152,167,152,167,1,1
20,148,158,148,158,1,1
21,155,195,155,195,1,1
22,154,186,154,186,1,1
23,157,233,157,233,1,1
24,158,223,158,223,1,1
25,156,213,156,213,1,1
26,155,205,155,205,1,1
27,164,317,164,317,1,1
28,161,289,161,289,1,1
29,163,278,163,278,1,1
30,161,261,161,261,1,1
31,157,251,157,251,1,1
32,160,241,160,241,1,1
33,165,345,165,345,1,1
34,160,308,160,308,1,1
35,160,299,160,299,1,1
36,162,269,162,269,1,1
37,164,336,164,336,1,1
38,165,326,165,326,1,1
