 ,X,Y,BX,BY,Width,Height
1,98,127,98,127,1,1
2,98,204,98,204,1,1
3,98,97,98,97,1,1
4,98,135,98,135,1,1
5,98,112,98,112,1,1
6,98,89,98,89,1,1
7,98,74,98,74,1,1
8,98,150,98,150,1,1
9,98,143,98,143,1,1
10,98,119,98,119,1,1
11,98,104,98,104,1,1
12,98,288,98,288,1,1
13,98,250,98,250,1,1
14,98,242,98,242,1,1
15,98,227,98,227,1,1
16,98,188,98,188,1,1
17,98,173,98,173,1,1
18,98,166,98,166,1,1
19,98,82,98,82,1,1
20,98,280,98,280,1,1
21,98,273,98,273,1,1
22,98,265,98,265,1,1
23,98,258,98,258,1,1
24,98,219,98,219,1,1
25,98,211,98,211,1,1
26,97,157,97,157,1,1
27,100,13,100,13,1,1
28,100,5,100,5,1,1
29,98,296,98,296,1,1
30,98,234,98,234,1,1
31,98,196,98,196,1,1
32,99,27,99,27,1,1
33,100,20,100,20,1,1
34,98,334,98,334,1,1
35,98,326,98,326,1,1
36,98,311,98,311,1,1
37,98,303,98,303,1,1
38,98,181,98,181,1,1
39,98,342,98,342,1,1
40,98,319,98,319,1,1
41,97,51,97,51,1,1
42,99,35,99,35,1,1
43,99,43,99,43,1,1
44,98,349,98,349,1,1
45,98,58,98,58,1,1
46,97,65,97,65,1,1
