 ,X,Y,BX,BY,Width,Height
1,63,26,63,26,1,1
2,94,98,94,98,1,1
3,104,118,104,118,1,1
4,55,7,55,7,1,1
5,52,0,52,0,1,1
6,93,92,93,92,1,1
7,83,72,83,72,1,1
8,100,111,100,111,1,1
9,72,46,72,46,1,1
10,58,13,58,13,1,1
11,78,59,78,59,1,1
12,69,40,69,40,1,1
13,89,85,89,85,1,1
14,66,33,66,33,1,1
15,106,124,106,124,1,1
16,99,105,99,105,1,1
17,61,20,61,20,1,1
18,112,138,112,138,1,1
19,77,53,77,53,1,1
20,89,79,89,79,1,1
21,123,164,123,164,1,1
22,118,151,118,151,1,1
23,109,131,109,131,1,1
24,83,66,83,66,1,1
25,129,177,129,177,1,1
26,114,144,114,144,1,1
27,137,196,137,196,1,1
28,126,170,126,170,1,1
29,131,183,131,183,1,1
30,146,216,146,216,1,1
31,140,203,140,203,1,1
32,134,190,134,190,1,1
33,120,157,120,157,1,1
34,151,229,151,229,1,1
35,143,209,143,209,1,1
36,165,261,165,261,1,1
37,157,242,157,242,1,1
38,154,235,154,235,1,1
39,160,248,160,248,1,1
40,148,222,148,222,1,1
41,163,255,163,255,1,1
42,168,268,168,268,1,1
43,171,275,171,275,1,1
44,174,281,174,281,1,1
45,180,294,180,294,1,1
46,177,288,177,288,1,1
47,185,307,185,307,1,1
48,188,314,188,314,1,1
49,191,320,191,320,1,1
50,183,301,183,301,1,1
51,194,327,194,327,1,1
52,197,333,197,333,1,1
53,204,349,204,349,1,1
54,200,340,200,340,1,1
