 ,X,Y,BX,BY,Width,Height
1,194,76,194,76,1,1
2,170,257,170,257,1,1
3,184,133,184,133,1,1
4,165,323,165,323,1,1
5,163,285,163,285,1,1
6,186,104,186,104,1,1
7,165,304,165,304,1,1
8,163,266,163,266,1,1
9,165,247,165,247,1,1
10,188,114,188,114,1,1
11,167,295,167,295,1,1
12,192,95,192,95,1,1
13,218,0,218,0,1,1
14,180,152,180,152,1,1
15,191,85,191,85,1,1
16,167,276,167,276,1,1
17,165,228,165,228,1,1
18,181,171,181,171,1,1
19,191,124,191,124,1,1
20,202,38,202,38,1,1
21,169,209,169,209,1,1
22,197,57,197,57,1,1
23,168,314,168,314,1,1
24,169,333,169,333,1,1
25,187,143,187,143,1,1
26,205,19,205,19,1,1
27,163,237,163,237,1,1
28,178,190,178,190,1,1
29,184,162,184,162,1,1
30,197,47,197,47,1,1
31,218,29,218,29,1,1
32,184,200,184,200,1,1
33,164,180,164,180,1,1
34,161,218,161,218,1,1
35,210,67,210,67,1,1
36,152,342,152,342,1,1
37,218,10,218,10,1,1
