 ,X,Y,BX,BY,Width,Height
1,0,7,0,7,1,1
2,0,37,0,37,1,1
3,0,27,0,27,1,1
4,0,17,0,17,1,1
5,1,278,1,278,1,1
6,1,348,1,348,1,1
7,0,338,0,338,1,1
8,0,298,0,298,1,1
9,0,268,0,268,1,1
10,0,76,0,76,1,1
11,0,47,0,47,1,1
12,0,86,0,86,1,1
13,0,66,0,66,1,1
14,0,308,0,308,1,1
15,0,288,0,288,1,1
16,0,106,0,106,1,1
17,0,57,0,57,1,1
18,0,147,0,147,1,1
19,0,116,0,116,1,1
20,0,189,0,189,1,1
21,0,157,0,157,1,1
22,0,126,0,126,1,1
23,0,168,0,168,1,1
24,0,137,0,137,1,1
25,0,96,0,96,1,1
26,0,319,0,319,1,1
27,0,218,0,218,1,1
28,0,198,0,198,1,1
29,0,179,0,179,1,1
30,0,208,0,208,1,1
31,0,228,0,228,1,1
32,0,328,0,328,1,1
33,0,258,0,258,1,1
34,0,239,0,239,1,1
35,0,248,0,248,1,1
36,0,0,0,0,1,1
