 ,X,Y,BX,BY,Width,Height
1,237,50,237,50,1,1
2,234,36,234,36,1,1
3,231,16,231,16,1,1
4,228,9,228,9,1,1
5,231,29,231,29,1,1
6,237,63,237,63,1,1
7,234,43,234,43,1,1
8,238,70,238,70,1,1
9,230,23,230,23,1,1
10,223,3,223,3,1,1
11,238,83,238,83,1,1
12,238,90,238,90,1,1
13,236,76,236,76,1,1
14,232,56,232,56,1,1
15,238,103,238,103,1,1
16,238,97,238,97,1,1
17,238,110,238,110,1,1
18,238,117,238,117,1,1
19,238,124,238,124,1,1
20,238,137,238,137,1,1
21,238,130,238,130,1,1
22,238,144,238,144,1,1
23,238,150,238,150,1,1
24,238,157,238,157,1,1
25,238,164,238,164,1,1
26,238,171,238,171,1,1
27,238,184,238,184,1,1
28,238,177,238,177,1,1
29,238,191,238,191,1,1
30,238,204,238,204,1,1
31,238,197,238,197,1,1
32,238,211,238,211,1,1
33,238,218,238,218,1,1
34,238,225,238,225,1,1
35,238,231,238,231,1,1
36,238,238,238,238,1,1
37,238,245,238,245,1,1
38,238,251,238,251,1,1
39,238,258,238,258,1,1
40,238,267,238,267,1,1
41,238,264,238,264,1,1
42,238,260,238,260,1,1
43,238,271,238,271,1,1
44,238,278,238,278,1,1
45,238,287,238,287,1,1
46,238,274,238,274,1,1
47,238,284,238,284,1,1
48,238,294,238,294,1,1
49,238,307,238,307,1,1
50,238,301,238,301,1,1
51,238,321,238,321,1,1
52,238,328,238,328,1,1
53,238,317,238,317,1,1
54,238,335,238,335,1,1
55,238,348,238,348,1,1
56,238,341,238,341,1,1
