 ,X,Y,BX,BY,Width,Height
1,122,252,122,252,1,1
2,123,320,123,320,1,1
3,120,326,120,326,1,1
4,120,259,120,259,1,1
5,117,333,117,333,1,1
6,123,191,123,191,1,1
7,122,340,122,340,1,1
8,123,184,123,184,1,1
9,123,266,123,266,1,1
10,123,239,123,239,1,1
11,123,116,123,116,1,1
12,123,123,123,123,1,1
13,123,306,123,306,1,1
14,123,286,123,286,1,1
15,123,225,123,225,1,1
16,123,171,123,171,1,1
17,123,246,123,246,1,1
18,123,347,123,347,1,1
19,123,157,123,157,1,1
20,123,313,123,313,1,1
21,123,198,123,198,1,1
22,123,293,123,293,1,1
23,123,178,123,178,1,1
24,123,68,123,68,1,1
25,123,130,123,130,1,1
26,123,273,123,273,1,1
27,123,232,123,232,1,1
28,123,205,123,205,1,1
29,123,103,123,103,1,1
30,123,164,123,164,1,1
31,123,300,123,300,1,1
32,123,89,123,89,1,1
33,123,212,123,212,1,1
34,123,279,123,279,1,1
35,123,82,123,82,1,1
36,123,137,123,137,1,1
37,123,110,123,110,1,1
38,123,150,123,150,1,1
39,123,219,123,219,1,1
40,123,144,123,144,1,1
41,123,48,123,48,1,1
42,123,96,123,96,1,1
43,123,55,123,55,1,1
44,123,62,123,62,1,1
45,123,41,123,41,1,1
46,123,75,123,75,1,1
47,123,34,123,34,1,1
48,123,7,123,7,1,1
49,123,14,123,14,1,1
50,123,21,123,21,1,1
51,123,28,123,28,1,1
