 ,X,Y,BX,BY,Width,Height
1,127,28,127,28,1,1
2,127,14,127,14,1,1
3,127,21,127,21,1,1
4,128,7,128,7,1,1
5,128,64,128,64,1,1
6,127,57,127,57,1,1
7,135,35,135,35,1,1
8,133,71,133,71,1,1
9,125,50,125,50,1,1
10,127,43,127,43,1,1
11,127,107,127,107,1,1
12,127,93,127,93,1,1
13,127,86,127,86,1,1
14,139,78,139,78,1,1
15,125,100,125,100,1,1
16,135,114,135,114,1,1
17,139,0,139,0,1,1
18,125,136,125,136,1,1
19,125,129,125,129,1,1
20,125,143,125,143,1,1
21,129,150,129,150,1,1
22,139,122,139,122,1,1
23,129,157,129,157,1,1
24,120,179,120,179,1,1
25,139,331,139,331,1,1
26,139,288,139,288,1,1
27,121,186,121,186,1,1
28,139,165,139,165,1,1
29,138,302,138,302,1,1
30,139,295,139,295,1,1
31,139,201,139,201,1,1
32,125,193,125,193,1,1
33,121,172,121,172,1,1
34,138,259,138,259,1,1
35,139,252,139,252,1,1
36,139,230,139,230,1,1
37,138,208,138,208,1,1
38,134,345,134,345,1,1
39,137,338,137,338,1,1
40,139,245,139,245,1,1
41,139,223,139,223,1,1
42,119,215,119,215,1,1
43,136,266,136,266,1,1
44,139,324,139,324,1,1
45,134,309,134,309,1,1
46,135,273,135,273,1,1
47,135,237,135,237,1,1
48,131,316,131,316,1,1
49,139,281,139,281,1,1
