 ,X,Y,BX,BY,Width,Height
1,90,13,90,13,1,1
2,23,299,23,299,1,1
3,32,262,32,262,1,1
4,34,255,34,255,1,1
5,48,196,48,196,1,1
6,66,116,66,116,1,1
7,16,335,16,335,1,1
8,73,86,73,86,1,1
9,20,313,20,313,1,1
10,50,189,50,189,1,1
11,41,225,41,225,1,1
12,75,79,75,79,1,1
13,85,35,85,35,1,1
14,30,269,30,269,1,1
15,87,28,87,28,1,1
16,25,292,25,292,1,1
17,18,321,18,321,1,1
18,46,204,46,204,1,1
19,36,247,36,247,1,1
20,82,50,82,50,1,1
21,56,159,56,159,1,1
22,61,138,61,138,1,1
23,58,152,58,152,1,1
24,72,94,72,94,1,1
25,22,306,22,306,1,1
26,60,145,60,145,1,1
27,27,284,27,284,1,1
28,51,182,51,182,1,1
29,77,72,77,72,1,1
30,44,211,44,211,1,1
31,92,6,92,6,1,1
32,14,342,14,342,1,1
33,70,101,70,101,1,1
34,88,21,88,21,1,1
35,63,131,63,131,1,1
36,37,240,37,240,1,1
37,17,328,17,328,1,1
38,55,167,55,167,1,1
39,80,57,80,57,1,1
40,28,277,28,277,1,1
41,39,233,39,233,1,1
42,53,174,53,174,1,1
43,43,218,43,218,1,1
44,68,108,68,108,1,1
45,84,42,84,42,1,1
46,78,65,78,65,1,1
47,65,123,65,123,1,1
48,13,349,13,349,1,1
49,93,0,93,0,1,1
