 ,X,Y,BX,BY,Width,Height
1,23,7,23,7,1,1
2,24,14,24,14,1,1
3,30,28,30,28,1,1
4,27,21,27,21,1,1
5,19,72,19,72,1,1
6,20,65,20,65,1,1
7,27,43,27,43,1,1
8,16,94,16,94,1,1
9,17,87,17,87,1,1
10,22,79,22,79,1,1
11,31,50,31,50,1,1
12,33,35,33,35,1,1
13,22,58,22,58,1,1
14,18,101,18,101,1,1
15,8,138,8,138,1,1
16,6,145,6,145,1,1
17,18,123,18,123,1,1
18,23,108,23,108,1,1
19,42,0,42,0,1,1
20,4,167,4,167,1,1
21,4,160,4,160,1,1
22,8,152,8,152,1,1
23,15,116,15,116,1,1
24,13,131,13,131,1,1
25,7,174,7,174,1,1
26,1,196,1,196,1,1
27,1,189,1,189,1,1
28,0,218,0,218,1,1
29,1,211,1,211,1,1
30,13,181,13,181,1,1
31,0,233,0,233,1,1
32,1,240,1,240,1,1
33,0,204,0,204,1,1
34,1,225,1,225,1,1
35,0,291,0,291,1,1
36,0,269,0,269,1,1
37,0,313,0,313,1,1
38,0,298,0,298,1,1
39,0,262,0,262,1,1
40,2,247,2,247,1,1
41,1,306,1,306,1,1
42,0,320,0,320,1,1
43,1,284,1,284,1,1
44,1,342,1,342,1,1
45,1,327,1,327,1,1
46,4,254,4,254,1,1
47,0,335,0,335,1,1
48,0,277,0,277,1,1
