 ,X,Y,BX,BY,Width,Height
1,24,14,24,14,1,1
2,25,6,25,6,1,1
3,25,36,25,36,1,1
4,24,28,24,28,1,1
5,25,21,25,21,1,1
6,24,88,24,88,1,1
7,24,81,24,81,1,1
8,24,73,24,73,1,1
9,24,66,24,66,1,1
10,25,58,25,58,1,1
11,25,51,25,51,1,1
12,25,43,25,43,1,1
13,24,139,24,139,1,1
14,24,95,24,95,1,1
15,24,132,24,132,1,1
16,25,125,25,125,1,1
17,24,110,24,110,1,1
18,25,162,25,162,1,1
19,25,148,25,148,1,1
20,25,118,25,118,1,1
21,24,103,24,103,1,1
22,24,169,24,169,1,1
23,24,184,24,184,1,1
24,24,178,24,178,1,1
25,26,155,26,155,1,1
26,24,229,24,229,1,1
27,25,199,25,199,1,1
28,24,236,24,236,1,1
29,24,192,24,192,1,1
30,24,259,24,259,1,1
31,25,214,25,214,1,1
32,24,206,24,206,1,1
33,25,296,25,296,1,1
34,24,275,24,275,1,1
35,25,266,25,266,1,1
36,25,245,25,245,1,1
37,25,222,25,222,1,1
38,24,305,24,305,1,1
39,24,289,24,289,1,1
40,25,281,25,281,1,1
41,25,251,25,251,1,1
42,26,326,26,326,1,1
43,26,311,26,311,1,1
44,25,318,25,318,1,1
45,24,342,24,342,1,1
46,25,333,25,333,1,1
47,24,348,24,348,1,1
