 ,X,Y,BX,BY,Width,Height
1,89,12,89,12,1,1
2,49,208,49,208,1,1
3,79,67,79,67,1,1
4,60,153,60,153,1,1
5,67,122,67,122,1,1
6,47,263,47,263,1,1
7,47,232,47,232,1,1
8,51,177,51,177,1,1
9,56,114,56,114,1,1
10,64,75,64,75,1,1
11,76,20,76,20,1,1
12,68,59,68,59,1,1
13,78,4,78,4,1,1
14,47,169,47,169,1,1
15,69,98,69,98,1,1
16,47,50,47,50,1,1
17,47,161,47,161,1,1
18,47,145,47,145,1,1
19,56,130,56,130,1,1
20,78,43,78,43,1,1
21,47,185,47,185,1,1
22,47,224,47,224,1,1
23,68,28,68,28,1,1
24,47,34,47,34,1,1
25,47,106,47,106,1,1
26,47,201,47,201,1,1
27,55,83,55,83,1,1
28,47,216,47,216,1,1
29,47,90,47,90,1,1
30,47,240,47,240,1,1
31,47,287,47,287,1,1
32,47,138,47,138,1,1
33,47,318,47,318,1,1
34,47,255,47,255,1,1
35,47,193,47,193,1,1
36,47,271,47,271,1,1
37,47,279,47,279,1,1
38,47,294,47,294,1,1
39,47,248,47,248,1,1
40,47,302,47,302,1,1
41,47,310,47,310,1,1
42,47,349,47,349,1,1
43,47,334,47,334,1,1
44,47,326,47,326,1,1
45,47,342,47,342,1,1
