 ,X,Y,BX,BY,Width,Height
1,128,27,128,27,1,1
2,114,4,114,4,1,1
3,138,42,138,42,1,1
4,142,80,142,80,1,1
5,145,65,145,65,1,1
6,134,57,134,57,1,1
7,139,72,139,72,1,1
8,141,50,141,50,1,1
9,159,118,159,118,1,1
10,149,95,149,95,1,1
11,128,12,128,12,1,1
12,169,141,169,141,1,1
13,128,34,128,34,1,1
14,182,201,182,201,1,1
15,166,133,166,133,1,1
16,154,88,154,88,1,1
17,131,20,131,20,1,1
18,177,186,177,186,1,1
19,186,209,186,209,1,1
20,170,163,170,163,1,1
21,206,292,206,292,1,1
22,206,277,206,277,1,1
23,201,269,201,269,1,1
24,195,254,195,254,1,1
25,193,224,193,224,1,1
26,175,156,175,156,1,1
27,165,148,165,148,1,1
28,218,330,218,330,1,1
29,213,315,213,315,1,1
30,219,338,219,338,1,1
31,182,171,182,171,1,1
32,158,125,158,125,1,1
33,191,239,191,239,1,1
34,202,247,202,247,1,1
35,189,231,189,231,1,1
36,162,103,162,103,1,1
37,184,179,184,179,1,1
38,164,111,164,111,1,1
39,207,262,207,262,1,1
40,189,194,189,194,1,1
41,218,300,218,300,1,1
42,224,323,224,323,1,1
43,213,285,213,285,1,1
44,196,217,196,217,1,1
45,221,345,221,345,1,1
46,220,308,220,308,1,1
