 ,X,Y,BX,BY,Width,Height
1,210,269,210,269,1,1
2,232,339,232,339,1,1
3,237,322,237,322,1,1
4,233,348,233,348,1,1
5,209,243,209,243,1,1
6,212,295,212,295,1,1
7,211,278,211,278,1,1
8,211,234,211,234,1,1
9,244,313,244,313,1,1
10,212,304,212,304,1,1
11,239,287,239,287,1,1
12,211,217,211,217,1,1
13,220,330,220,330,1,1
14,135,58,135,58,1,1
15,206,199,206,199,1,1
16,207,155,207,155,1,1
17,133,84,133,84,1,1
18,152,6,152,6,1,1
19,208,251,208,251,1,1
20,251,208,251,208,1,1
21,209,164,209,164,1,1
22,154,15,154,15,1,1
23,133,93,133,93,1,1
24,208,260,208,260,1,1
25,205,190,205,190,1,1
26,136,49,136,49,1,1
27,128,40,128,40,1,1
28,210,225,210,225,1,1
29,190,120,190,120,1,1
30,199,138,199,138,1,1
31,189,129,189,129,1,1
32,194,111,194,111,1,1
33,192,94,192,94,1,1
34,185,146,185,146,1,1
35,139,32,139,32,1,1
36,142,23,142,23,1,1
37,248,182,248,182,1,1
38,184,172,184,172,1,1
39,175,102,175,102,1,1
40,196,67,196,67,1,1
41,191,76,191,76,1,1
42,238,10,238,10,1,1
43,233,28,233,28,1,1
44,237,19,237,19,1,1
45,230,36,230,36,1,1
