 ,X,Y,BX,BY,Width,Height
1,204,283,204,283,1,1
2,211,330,211,330,1,1
3,208,311,208,311,1,1
4,202,170,202,170,1,1
5,200,161,200,161,1,1
6,211,349,211,349,1,1
7,209,339,209,339,1,1
8,208,292,208,292,1,1
9,208,236,208,236,1,1
10,222,227,222,227,1,1
11,211,208,211,208,1,1
12,207,199,207,199,1,1
13,209,321,209,321,1,1
14,203,302,203,302,1,1
15,208,273,208,273,1,1
16,210,264,210,264,1,1
17,213,255,213,255,1,1
18,210,246,210,246,1,1
19,210,217,210,217,1,1
20,206,189,206,189,1,1
21,202,180,202,180,1,1
22,199,142,199,142,1,1
23,199,151,199,151,1,1
24,195,133,195,133,1,1
25,196,114,196,114,1,1
26,189,105,189,105,1,1
27,193,95,193,95,1,1
28,194,123,194,123,1,1
29,189,76,189,76,1,1
30,186,86,186,86,1,1
31,180,67,180,67,1,1
32,176,48,176,48,1,1
33,184,58,184,58,1,1
34,179,39,179,39,1,1
35,176,29,176,29,1,1
36,172,10,172,10,1,1
37,174,20,174,20,1,1
38,171,1,171,1,1,1
