 ,X,Y,BX,BY,Width,Height
1,148,284,148,284,1,1
2,147,257,147,257,1,1
3,147,157,147,157,1,1
4,149,66,149,66,1,1
5,146,339,146,339,1,1
6,149,330,149,330,1,1
7,148,184,148,184,1,1
8,145,48,145,48,1,1
9,145,21,145,21,1,1
10,148,211,148,211,1,1
11,145,112,145,112,1,1
12,147,39,147,39,1,1
13,150,302,150,302,1,1
14,145,230,145,230,1,1
15,149,202,149,202,1,1
16,149,275,149,275,1,1
17,148,175,148,175,1,1
18,143,166,143,166,1,1
19,142,94,142,94,1,1
20,143,266,143,266,1,1
21,141,139,141,139,1,1
22,140,30,140,30,1,1
23,139,239,139,239,1,1
24,147,57,147,57,1,1
25,140,348,140,348,1,1
26,139,121,139,121,1,1
27,136,3,136,3,1,1
28,138,148,138,148,1,1
29,146,293,146,293,1,1
30,137,248,137,248,1,1
31,134,103,134,103,1,1
32,135,76,135,76,1,1
33,143,193,143,193,1,1
34,132,130,132,130,1,1
35,143,84,143,84,1,1
36,133,312,133,312,1,1
37,132,11,132,11,1,1
38,132,221,132,221,1,1
39,135,320,135,320,1,1
