 ,X,Y,BX,BY,Width,Height
1,160,334,160,334,1,1
2,164,343,164,343,1,1
3,164,326,164,326,1,1
4,152,283,152,283,1,1
5,159,292,159,292,1,1
6,164,309,164,309,1,1
7,165,301,165,301,1,1
8,155,275,155,275,1,1
9,156,250,156,250,1,1
10,164,318,164,318,1,1
11,161,267,161,267,1,1
12,154,258,154,258,1,1
13,154,233,154,233,1,1
14,152,216,152,216,1,1
15,147,207,147,207,1,1
16,148,199,148,199,1,1
17,153,241,153,241,1,1
18,147,224,147,224,1,1
19,148,182,148,182,1,1
20,146,190,146,190,1,1
21,147,174,147,174,1,1
22,147,165,147,165,1,1
23,142,148,142,148,1,1
24,141,156,141,156,1,1
25,142,139,142,139,1,1
26,142,131,142,131,1,1
27,140,122,140,122,1,1
28,138,105,138,105,1,1
29,135,97,135,97,1,1
30,134,63,134,63,1,1
31,140,114,140,114,1,1
32,134,88,134,88,1,1
33,133,71,133,71,1,1
34,134,54,134,54,1,1
35,132,46,132,46,1,1
36,132,80,132,80,1,1
37,132,37,132,37,1,1
38,132,11,132,11,1,1
39,127,28,127,28,1,1
40,132,20,132,20,1,1
41,132,3,132,3,1,1
