 ,X,Y,BX,BY,Width,Height
1,179,332,179,332,1,1
2,179,323,179,323,1,1
3,177,286,177,286,1,1
4,177,277,177,277,1,1
5,176,258,176,258,1,1
6,176,249,176,249,1,1
7,175,193,175,193,1,1
8,178,314,178,314,1,1
9,177,295,177,295,1,1
10,175,268,175,268,1,1
11,174,221,174,221,1,1
12,176,342,176,342,1,1
13,178,305,178,305,1,1
14,174,230,174,230,1,1
15,175,202,175,202,1,1
16,175,183,175,183,1,1
17,176,174,176,174,1,1
18,174,240,174,240,1,1
19,173,211,173,211,1,1
20,174,164,174,164,1,1
21,176,155,176,155,1,1
22,174,146,174,146,1,1
23,176,136,176,136,1,1
24,176,127,176,127,1,1
25,179,99,179,99,1,1
26,175,117,175,117,1,1
27,174,89,174,89,1,1
28,178,80,178,80,1,1
29,176,71,176,71,1,1
30,175,108,175,108,1,1
31,177,62,177,62,1,1
32,179,43,179,43,1,1
33,175,34,175,34,1,1
34,174,52,174,52,1,1
35,178,15,178,15,1,1
36,176,25,176,25,1,1
37,174,5,174,5,1,1
38,159,349,159,349,1,1
