 ,X,Y,BX,BY,Width,Height
1,299,319,299,319,1,1
2,283,345,283,345,1,1
3,281,336,281,336,1,1
4,278,301,278,301,1,1
5,280,310,280,310,1,1
6,283,267,283,267,1,1
7,300,328,300,328,1,1
8,286,293,286,293,1,1
9,284,250,284,250,1,1
10,273,241,273,241,1,1
11,285,224,285,224,1,1
12,286,215,286,215,1,1
13,285,181,285,181,1,1
14,264,284,264,284,1,1
15,293,259,293,259,1,1
16,283,198,283,198,1,1
17,287,155,287,155,1,1
18,267,232,267,232,1,1
19,287,172,287,172,1,1
20,286,138,286,138,1,1
21,286,103,286,103,1,1
22,292,276,292,276,1,1
23,278,189,278,189,1,1
24,276,163,276,163,1,1
25,284,146,284,146,1,1
26,289,112,289,112,1,1
27,284,207,284,207,1,1
28,274,129,274,129,1,1
29,272,120,272,120,1,1
30,290,69,290,69,1,1
31,289,60,289,60,1,1
32,286,77,286,77,1,1
33,288,95,288,95,1,1
34,288,34,288,34,1,1
35,283,86,283,86,1,1
36,296,26,296,26,1,1
37,275,8,275,8,1,1
38,263,51,263,51,1,1
39,259,42,259,42,1,1
40,297,17,297,17,1,1
41,286,0,286,0,1,1
