Distance_(microns),Gray_Value
0.0000,8.2500
0.7740,8.9235
1.5479,10.7540
2.3219,10.8388
3.0959,10.6363
3.8698,9.8543
4.6438,9.2449
5.4178,8.1826
6.1917,6.7165
6.9657,5.3060
7.7397,5.0000
8.5136,4.2199
9.2876,4.0000
10.0616,4.7050
10.8356,5.0000
11.6095,5.3865
12.3835,5.8850
13.1575,6.0000
13.9314,6.2213
14.7054,6.5081
15.4794,6.4455
16.2533,6.5492
17.0273,6.1468
17.8013,5.7852
18.5752,5.8691
19.3492,5.8609
20.1232,6.0000
20.8971,6.6585
21.6711,7.8127
22.4451,10.0347
23.2190,10.7187
23.9930,11.0000
24.7670,12.2767
25.5409,12.8709
26.3149,13.4221
27.0889,12.6007
27.8629,10.9933
28.6368,10.4059
29.4108,7.0134
30.1848,4.9561
30.9587,4.0000
31.7327,3.8569
32.5067,3.6061
33.2806,3.1947
34.0546,3.0000
34.8286,3.0000
35.6025,3.0000
36.3765,3.0000
37.1505,3.0000
37.9244,3.0000
38.6984,3.0000
39.4724,3.1795
40.2463,3.9677
41.0203,3.9492
41.7943,4.5199
42.5682,5.0000
43.3422,5.0834
44.1162,5.1093
44.8901,5.1319
45.6641,5.3931
46.4381,6.6122
47.2121,7.7169
47.9860,10.4413
48.7600,11.5127
49.5340,13.1797
50.3079,14.0000
51.0819,14.0000
51.8559,13.4621
52.6298,12.1056
53.4038,12.3979
54.1778,11.4335
54.9517,11.8021
55.7257,9.9524
56.4997,9.0037
57.2736,9.0000
58.0476,8.6786
58.8216,7.4024
59.5955,6.0426
60.3695,5.2569
61.1435,4.8007
61.9174,5.0000
62.6914,4.9198
63.4654,4.7733
64.2393,4.1039
65.0133,4.0000
