Distance_(microns),Gray_Value
0.0000,5.0000
0.7740,5.0000
1.5479,5.0000
2.3219,5.0000
3.0959,5.0000
3.8698,5.0000
4.6438,5.0000
5.4178,5.0000
6.1917,5.0000
6.9657,5.0000
7.7397,8.0000
8.5136,10.0505
9.2876,11.0000
10.0616,11.0000
10.8356,11.0000
11.6095,10.6230
12.3835,11.0000
13.1575,13.5809
13.9314,14.8303
14.7054,13.1216
15.4794,13.2382
16.2533,14.7041
17.0273,14.4548
17.8013,16.8162
18.5752,20.5470
19.3492,21.9886
20.1232,24.2710
20.8971,30.8596
21.6711,41.0476
22.4451,51.5856
23.2190,68.6891
23.9930,84.5326
24.7670,91.0000
25.5409,91.0000
26.3149,91.0000
27.0889,91.0000
27.8629,91.0000
28.6368,91.0000
29.4108,91.0000
30.1848,91.0000
30.9587,91.0000
31.7327,90.7240
32.5067,85.8758
33.2806,65.9590
34.0546,49.6649
34.8286,42.5861
35.6025,36.7054
36.3765,30.2686
37.1505,23.7420
37.9244,16.7697
38.6984,16.0000
39.4724,11.2000
40.2463,11.0000
41.0203,15.8000
41.7943,16.0000
42.5682,16.0000
43.3422,16.0000
44.1162,16.0000
44.8901,16.0000
45.6641,16.0000
46.4381,19.7505
47.2121,23.1185
47.9860,27.0787
48.7600,30.7207
49.5340,39.3543
50.3079,45.6996
51.0819,52.8988
51.8559,60.3802
52.6298,64.5301
53.4038,70.3884
54.1778,83.1200
54.9517,90.3234
55.7257,95.8522
56.4997,100.5559
57.2736,97.3598
58.0476,95.4295
58.8216,86.4131
59.5955,76.6970
60.3695,67.7700
61.1435,53.9172
61.9174,46.7830
62.6914,38.0704
63.4654,33.9458
64.2393,35.3531
65.0133,38.8497
65.7873,43.7239
66.5612,45.0000
67.3352,45.0000
68.1092,45.0000
68.8832,35.3990
69.6571,18.4274
70.4311,16.0000
71.2051,12.8714
71.9790,13.8673
72.7530,15.9507
73.5270,19.2901
74.3009,22.7309
75.0749,26.1716
75.8489,28.0000
76.6228,30.6833
77.3968,31.9223
78.1708,29.6862
78.9447,28.9788
79.7187,30.8704
80.4927,33.3106
81.2666,36.4037
82.0406,30.7134
82.8146,30.8843
83.5885,29.7512
84.3625,27.5870
85.1365,25.0727
