Distance_(microns),Gray_Value
0.0000,9.50000
0.7740,9.48270
1.5479,9.35122
2.3219,8.42172
3.0959,7.28952
3.8698,6.96556
4.6438,6.37717
5.4178,5.22769
6.1917,3.70009
6.9657,3.94073
7.7397,4.21953
8.5136,3.88555
9.2876,3.90700
10.0616,4.75444
10.8356,4.97659
11.6095,5.00000
12.3835,4.96716
13.1575,5.00000
13.9314,4.99606
14.7054,4.94009
15.4794,5.03810
16.2533,4.45618
17.0273,4.50000
17.8013,3.66709
18.5752,3.00000
19.3492,3.00000
20.1232,3.00000
20.8971,3.10620
21.6711,3.61215
22.4451,4.29389
23.2190,5.19057
23.9930,5.18558
24.7670,5.60731
25.5409,5.00000
26.3149,4.72211
27.0889,4.15696
27.8629,3.85192
28.6368,3.36378
29.4108,3.00000
30.1848,3.00000
30.9587,3.16037
31.7327,3.80350
32.5067,3.00000
33.2806,2.87566
34.0546,2.42876
34.8286,3.24354
35.6025,3.00000
36.3765,3.00000
37.1505,2.89705
37.9244,2.47260
38.6984,3.00000
39.4724,3.00000
40.2463,3.00000
41.0203,3.00000
41.7943,3.00000
42.5682,3.00000
43.3422,3.00000
44.1162,3.00000
44.8901,3.00000
45.6641,3.00000
46.4381,3.00000
47.2121,3.00000
47.9860,3.00000
48.7600,3.00000
49.5340,3.00000
50.3079,3.00000
51.0819,2.86896
51.8559,2.03942
52.6298,2.10123
53.4038,2.73997
54.1778,2.67213
54.9517,3.00000
55.7257,3.00000
56.4997,3.00000
57.2736,3.06754
58.0476,3.91244
58.8216,4.14621
59.5955,6.07538
60.3695,7.48697
61.1435,9.73454
61.9174,10.72980
62.6914,10.41752
63.4654,10.22504
64.2393,9.97905
65.0133,9.05168
65.7873,8.90970
66.5612,7.03132
67.3352,5.22158
68.1092,4.65799
68.8832,3.48906
69.6571,2.66092
70.4311,2.00000
71.2051,2.00000
71.9790,2.00000
72.7530,2.00000
