Distance_(microns),Gray_Value
0.0000,9.7500
0.7740,9.4153
1.5479,10.0275
2.3219,9.9420
3.0959,9.8329
3.8698,9.0151
4.6438,7.4878
5.4178,6.4747
6.1917,5.6265
6.9657,4.1917
7.7397,4.0000
8.5136,4.0000
9.2876,3.9815
10.0616,3.9409
10.8356,4.0000
11.6095,4.0000
12.3835,4.2203
13.1575,4.9916
13.9314,5.6828
14.7054,7.0007
15.4794,7.4771
16.2533,8.0000
17.0273,8.0000
17.8013,7.4486
18.5752,6.5876
19.3492,6.6749
20.1232,7.7170
20.8971,9.5225
21.6711,11.9915
22.4451,13.3301
23.2190,13.9666
23.9930,13.8472
24.7670,14.0000
25.5409,12.2891
26.3149,9.7196
27.0889,8.3419
27.8629,6.6289
28.6368,4.4372
29.4108,3.0000
30.1848,3.0000
30.9587,2.1475
31.7327,2.0000
32.5067,2.1634
33.2806,2.8805
34.0546,3.0000
34.8286,3.0000
35.6025,3.5059
36.3765,4.0000
37.1505,4.1727
37.9244,5.0000
38.6984,4.9920
39.4724,5.0000
40.2463,5.0000
41.0203,5.9417
41.7943,8.6019
42.5682,10.7372
43.3422,11.8979
44.1162,13.4137
44.8901,14.6259
45.6641,15.8582
46.4381,16.0000
47.2121,16.0000
47.9860,15.9257
48.7600,15.2165
49.5340,14.5532
50.3079,13.8899
51.0819,12.1416
51.8559,9.9194
52.6298,7.9132
53.4038,8.4512
54.1778,9.0796
54.9517,9.4464
55.7257,10.2597
56.4997,11.0000
57.2736,11.0478
58.0476,11.4853
58.8216,11.0000
59.5955,11.0000
60.3695,11.0000
61.1435,10.6596
61.9174,10.0471
62.6914,9.5845
63.4654,9.4340
64.2393,8.8671
65.0133,6.7841
65.7873,5.0106
66.5612,4.0495
67.3352,4.0000
68.1092,3.7860
68.8832,3.5019
69.6571,3.8324
70.4311,3.9337
71.2051,3.6497
71.9790,3.5436
72.7530,3.2977
73.5270,3.0000
74.3009,2.7379
75.0749,2.2292
75.8489,2.4561
