Distance_(microns),Gray_Value
0.0000,26.125
0.7740,28.623
1.5479,31.747
2.3219,40.823
3.0959,49.984
3.8698,59.827
4.6438,66.286
5.4178,83.714
6.1917,94.750
6.9657,98.450
7.7397,103.680
8.5136,124.313
9.2876,132.000
10.0616,132.000
10.8356,146.323
11.6095,150.651
12.3835,164.074
13.1575,177.952
13.9314,186.706
14.7054,194.856
15.4794,200.000
16.2533,201.812
17.0273,212.762
17.8013,228.386
18.5752,245.190
19.3492,247.577
20.1232,255.000
20.8971,255.000
21.6711,255.000
22.4451,255.000
23.2190,255.000
23.9930,254.739
24.7670,225.455
25.5409,172.258
26.3149,150.691
27.0889,137.418
27.8629,129.013
28.6368,121.152
29.4108,112.628
30.1848,100.834
30.9587,82.218
31.7327,70.889
32.5067,63.482
33.2806,62.000
34.0546,66.134
34.8286,77.780
35.6025,87.750
36.3765,102.508
37.1505,118.484
37.9244,146.555
38.6984,181.359
39.4724,255.000
40.2463,255.000
41.0203,255.000
41.7943,255.000
42.5682,255.000
43.3422,255.000
44.1162,255.000
44.8901,255.000
45.6641,255.000
46.4381,255.000
47.2121,255.000
47.9860,255.000
48.7600,255.000
49.5340,255.000
50.3079,255.000
51.0819,255.000
51.8559,255.000
52.6298,255.000
53.4038,255.000
54.1778,254.922
54.9517,255.000
55.7257,255.000
56.4997,255.000
57.2736,255.000
58.0476,255.000
58.8216,255.000
59.5955,255.000
60.3695,255.000
61.1435,254.039
61.9174,233.268
62.6914,210.161
63.4654,203.076
64.2393,200.481
65.0133,203.976
65.7873,205.370
66.5612,208.236
67.3352,244.897
68.1092,251.297
68.8832,255.000
69.6571,255.000
70.4311,255.000
71.2051,255.000
71.9790,255.000
72.7530,255.000
