Distance_(microns),Gray_Value
0.0000,5.000
0.7740,5.000
1.5479,5.000
2.3219,5.000
3.0959,5.000
3.8698,5.000
4.6438,5.000
5.4178,5.000
6.1917,5.000
6.9657,6.951
7.7397,7.577
8.5136,9.962
9.2876,15.959
10.0616,18.644
10.8356,20.242
11.6095,22.000
12.3835,21.950
13.1575,19.194
13.9314,17.625
14.7054,16.000
15.4794,16.000
16.2533,16.000
17.0273,17.481
17.8013,22.393
18.5752,26.541
19.3492,28.000
20.1232,28.000
20.8971,28.000
21.6711,28.000
22.4451,28.000
23.2190,30.837
23.9930,36.555
24.7670,47.147
25.5409,59.274
26.3149,72.976
27.0889,87.641
27.8629,75.570
28.6368,65.962
29.4108,56.373
30.1848,47.902
30.9587,44.564
31.7327,44.914
32.5067,39.741
33.2806,37.279
34.0546,33.168
34.8286,33.260
35.6025,37.302
36.3765,36.668
37.1505,33.441
37.9244,33.000
38.6984,33.000
39.4724,33.000
40.2463,32.164
41.0203,32.251
41.7943,41.122
42.5682,63.878
43.3422,117.051
44.1162,136.215
44.8901,155.416
45.6641,144.441
46.4381,130.246
47.2121,114.945
47.9860,105.840
48.7600,101.645
49.5340,94.344
50.3079,90.929
51.0819,90.454
51.8559,90.939
52.6298,90.343
53.4038,88.307
54.1778,86.456
54.9517,87.172
55.7257,84.946
56.4997,84.316
57.2736,83.739
58.0476,79.000
58.8216,77.124
59.5955,74.000
60.3695,74.000
61.1435,74.000
61.9174,74.000
62.6914,74.593
63.4654,75.997
64.2393,75.263
65.0133,73.797
65.7873,73.282
