Distance_(microns),Gray_Value
0.0000,10.00000
0.7740,8.00000
1.5479,8.00000
2.3219,7.00000
3.0959,7.00000
3.8698,7.00000
4.6438,6.50000
5.4178,7.00000
6.1917,6.50000
6.9657,7.00000
7.7397,8.00000
8.5136,7.85127
9.2876,6.21873
10.0616,5.56964
10.8356,5.03204
11.6095,5.00000
12.3835,5.00000
13.1575,5.51619
13.9314,6.28440
14.7054,6.42431
15.4794,6.44765
16.2533,7.50937
17.0273,8.00000
17.8013,7.90778
18.5752,7.55373
19.3492,6.71557
20.1232,6.00000
20.8971,5.81723
21.6711,5.33567
22.4451,5.00000
23.2190,5.00000
23.9930,4.95540
24.7670,4.80582
25.5409,4.31277
26.3149,4.71694
27.0889,5.00000
27.8629,5.00000
28.6368,5.00000
29.4108,5.00000
30.1848,5.00000
30.9587,5.00000
31.7327,5.05141
32.5067,5.32050
33.2806,4.93484
34.0546,3.99109
34.8286,3.81220
35.6025,3.62270
36.3765,3.00064
37.1505,3.98451
37.9244,5.93675
38.6984,6.96000
39.4724,7.00000
40.2463,6.04000
41.0203,6.00000
41.7943,5.04000
42.5682,4.04000
43.3422,3.04000
44.1162,2.04000
44.8901,2.00000
45.6641,2.00000
46.4381,2.00000
47.2121,2.00000
47.9860,2.00000
48.7600,2.00000
49.5340,2.00000
50.3079,2.00000
51.0819,2.00000
51.8559,2.00000
52.6298,2.00000
53.4038,2.00000
54.1778,2.00000
54.9517,2.00000
55.7257,2.00000
56.4997,2.00000
57.2736,2.00000
58.0476,2.32004
58.8216,3.00000
59.5955,3.09465
60.3695,4.29832
61.1435,4.92436
61.9174,5.00000
62.6914,5.00000
63.4654,5.00000
64.2393,5.00000
65.0133,5.00000
65.7873,5.00000
66.5612,4.86573
67.3352,4.40824
68.1092,4.36308
68.8832,4.68655
69.6571,5.00009
70.4311,5.56152
71.2051,5.03965
71.9790,5.34326
72.7530,5.39808
73.5270,6.13670
74.3009,7.81967
75.0749,6.19520
75.8489,6.00000
76.6228,6.00000
77.3968,5.66183
78.1708,5.66276
78.9447,5.80425
79.7187,5.55448
80.4927,5.92224
81.2666,4.86542
82.0406,4.25662
82.8146,4.28842
83.5885,4.22233
84.3625,4.00000
85.1365,4.23114
