Distance_(microns),Gray_Value
0.0000,10.3333
0.7740,12.0000
1.5479,11.9167
2.3219,12.0000
3.0959,12.1830
3.8698,12.9029
4.6438,12.4650
5.4178,10.9543
6.1917,8.5806
6.9657,7.9357
7.7397,6.8245
8.5136,5.7776
9.2876,5.1280
10.0616,5.0000
10.8356,5.0000
11.6095,5.0000
12.3835,5.0000
13.1575,4.8164
13.9314,4.7158
14.7054,4.3636
15.4794,5.0359
16.2533,5.8941
17.0273,6.0000
17.8013,6.0000
18.5752,6.3216
19.3492,6.4141
20.1232,5.3528
20.8971,4.3910
21.6711,3.9356
22.4451,3.6681
23.2190,3.0000
23.9930,3.2075
24.7670,3.8789
25.5409,3.7061
26.3149,4.9288
27.0889,5.0000
27.8629,6.8868
28.6368,8.6165
29.4108,9.1988
30.1848,9.1266
30.9587,8.2786
31.7327,8.0000
32.5067,7.6831
33.2806,7.0877
34.0546,6.9615
34.8286,5.8101
35.6025,4.5334
36.3765,3.5746
37.1505,2.6158
37.9244,2.1682
38.6984,2.5408
39.4724,2.0000
40.2463,2.0000
41.0203,2.0000
41.7943,2.0000
42.5682,2.2120
43.3422,2.4806
44.1162,2.1015
44.8901,2.3666
45.6641,2.5728
46.4381,3.0000
47.2121,3.0000
47.9860,3.0000
48.7600,3.0000
49.5340,3.0000
50.3079,3.0000
51.0819,2.9195
51.8559,2.5718
52.6298,2.0000
53.4038,2.0000
54.1778,2.0000
54.9517,2.0000
55.7257,2.0000
56.4997,2.0000
57.2736,2.0000
58.0476,2.1157
58.8216,2.6450
59.5955,3.0000
60.3695,3.1720
61.1435,3.8199
61.9174,4.0238
62.6914,4.0000
63.4654,4.7147
64.2393,5.0650
65.0133,5.1498
65.7873,4.7411
66.5612,4.7080
67.3352,3.7381
68.1092,2.9578
68.8832,2.1406
69.6571,2.0000
70.4311,2.0000
71.2051,2.0000
71.9790,2.0000
72.7530,2.0000
73.5270,2.0000
74.3009,2.0000
75.0749,2.0000
75.8489,2.0000
76.6228,2.2267
77.3968,2.2199
78.1708,2.9824
78.9447,2.8864
79.7187,3.0000
80.4927,3.0000
81.2666,3.0000
82.0406,3.0000
82.8146,2.6514
83.5885,2.0000
