Distance_(microns),Gray_Value
0.0000,10.0000
0.7740,10.4913
1.5479,11.5742
2.3219,13.7688
3.0959,13.9641
3.8698,14.0000
4.6438,14.0000
5.4178,12.8295
6.1917,10.5588
6.9657,7.7071
7.7397,5.4856
8.5136,4.5287
9.2876,4.6365
10.0616,3.4893
10.8356,3.0000
11.6095,3.0000
12.3835,3.0000
13.1575,3.0000
13.9314,3.3388
14.7054,3.9624
15.4794,5.4556
16.2533,6.3741
17.0273,7.0000
17.8013,7.0610
18.5752,7.9319
19.3492,7.9830
20.1232,7.1603
20.8971,6.9998
21.6711,6.7883
22.4451,7.2641
23.2190,8.1578
23.9930,9.0556
24.7670,10.7995
25.5409,11.7304
26.3149,11.5611
27.0889,11.5190
27.8629,12.4993
28.6368,13.1217
29.4108,12.7851
30.1848,10.2368
30.9587,8.5836
31.7327,6.8082
32.5067,5.2107
33.2806,4.0357
34.0546,3.6642
34.8286,2.7959
35.6025,3.7724
36.3765,3.0373
37.1505,2.9613
37.9244,3.8494
38.6984,3.9273
39.4724,3.5997
40.2463,3.2846
41.0203,3.6491
41.7943,3.5825
42.5682,3.4660
43.3422,3.2521
44.1162,4.8337
44.8901,6.2237
45.6641,7.5784
46.4381,9.2693
47.2121,12.2966
47.9860,13.1025
48.7600,13.8804
49.5340,14.7142
50.3079,15.5313
51.0819,15.5990
51.8559,15.7420
52.6298,15.6723
53.4038,15.7802
54.1778,15.2479
54.9517,14.1547
55.7257,12.4730
56.4997,8.6573
57.2736,7.0341
58.0476,5.9796
58.8216,4.5761
59.5955,4.1390
60.3695,4.5277
61.1435,4.6743
61.9174,6.0878
62.6914,7.4695
63.4654,8.8140
64.2393,9.0000
65.0133,9.8701
65.7873,10.2002
66.5612,10.1591
67.3352,10.1135
68.1092,10.0000
68.8832,10.0000
69.6571,8.4648
70.4311,6.7736
71.2051,6.0083
71.9790,5.2644
72.7530,4.6728
73.5270,3.6110
74.3009,3.0000
75.0749,3.0000
75.8489,3.0000
76.6228,3.0000
