Distance_(microns),Gray_Value
0.0000,10.4375
0.7740,11.1808
1.5479,12.4537
2.3219,12.8279
3.0959,13.1039
3.8698,13.0217
4.6438,12.6040
5.4178,12.2386
6.1917,11.5897
6.9657,11.4914
7.7397,10.1714
8.5136,9.3414
9.2876,8.3964
10.0616,6.8916
10.8356,6.0283
11.6095,5.6122
12.3835,5.2102
13.1575,5.3207
13.9314,5.2483
14.7054,5.7085
15.4794,6.7085
16.2533,7.0999
17.0273,7.9401
17.8013,7.2222
18.5752,6.4141
19.3492,6.0000
20.1232,5.9460
20.8971,5.9454
21.6711,5.1225
22.4451,4.6300
23.2190,4.9601
23.9930,4.6024
24.7670,4.8238
25.5409,4.2500
26.3149,4.2426
27.0889,3.9615
27.8629,3.8760
28.6368,4.6159
29.4108,3.9945
30.1848,4.7053
30.9587,5.5796
31.7327,7.0896
32.5067,8.7305
33.2806,9.0000
34.0546,9.3679
34.8286,10.6923
35.6025,11.0000
36.3765,10.3567
37.1505,9.4425
37.9244,7.8025
38.6984,6.9819
39.4724,5.2813
40.2463,4.3613
41.0203,3.7099
41.7943,3.9401
42.5682,4.0417
43.3422,4.9035
44.1162,5.0000
44.8901,5.6631
45.6641,6.1560
46.4381,6.4982
47.2121,7.5404
47.9860,7.2251
48.7600,7.0965
49.5340,5.8023
50.3079,3.7179
51.0819,2.4018
51.8559,2.0000
52.6298,2.0000
53.4038,2.0000
54.1778,2.0000
54.9517,2.0000
55.7257,2.0000
56.4997,2.0000
57.2736,2.0000
58.0476,2.0000
58.8216,2.0000
59.5955,2.0000
60.3695,2.0000
61.1435,2.0000
61.9174,2.0000
62.6914,2.0000
63.4654,2.0000
64.2393,2.0000
65.0133,2.0000
65.7873,2.1077
66.5612,2.6806
67.3352,3.0000
68.1092,3.0000
68.8832,3.0186
69.6571,3.2387
70.4311,4.0000
71.2051,4.0000
71.9790,4.0000
72.7530,3.9203
73.5270,3.5570
74.3009,3.3687
75.0749,3.0000
75.8489,3.0000
