Distance_(microns),Gray_Value
0.0000,5.000
0.7740,5.000
1.5479,5.000
2.3219,5.000
3.0959,0.323
3.8698,2.784
4.6438,0.206
5.4178,0.000
6.1917,0.000
6.9657,0.000
7.7397,4.193
8.5136,5.000
9.2876,5.000
10.0616,5.000
10.8356,5.000
11.6095,5.000
12.3835,5.000
13.1575,5.000
13.9314,5.000
14.7054,5.000
15.4794,5.000
16.2533,5.000
17.0273,8.871
17.8013,11.000
18.5752,11.000
19.3492,11.000
20.1232,12.039
20.8971,14.556
21.6711,16.000
22.4451,16.000
23.2190,16.000
23.9930,16.000
24.7670,16.000
25.5409,17.195
26.3149,23.482
27.0889,28.900
27.8629,33.339
28.6368,38.685
29.4108,48.144
30.1848,49.090
30.9587,47.730
31.7327,41.156
32.5067,35.999
33.2806,37.429
34.0546,32.393
34.8286,27.424
35.6025,27.666
36.3765,28.000
37.1505,29.677
37.9244,32.931
38.6984,36.057
39.4724,39.862
40.2463,40.920
41.0203,45.000
41.7943,45.000
42.5682,45.000
43.3422,45.000
44.1162,45.000
44.8901,48.520
45.6641,59.520
46.4381,67.000
47.2121,67.640
47.9860,71.240
48.7600,75.040
49.5340,71.720
50.3079,68.360
51.0819,63.800
51.8559,51.560
52.6298,40.000
53.4038,37.760
54.1778,31.400
54.9517,26.080
55.7257,22.000
56.4997,22.000
57.2736,20.080
58.0476,16.000
58.8216,14.400
59.5955,11.000
60.3695,11.000
61.1435,11.000
61.9174,12.600
62.6914,16.000
63.4654,16.000
64.2393,17.920
65.0133,22.000
65.7873,22.000
66.5612,23.844
67.3352,30.172
68.1092,40.003
68.8832,57.675
69.6571,84.922
70.4311,121.511
71.2051,138.620
71.9790,144.689
72.7530,141.456
73.5270,126.104
74.3009,125.905
75.0749,126.086
75.8489,130.561
76.6228,130.442
77.3968,128.755
78.1708,122.927
78.9447,110.792
79.7187,98.577
80.4927,81.098
81.2666,70.447
82.0406,58.049
82.8146,48.288
83.5885,41.890
84.3625,34.314
85.1365,27.844
85.9105,24.244
86.6844,20.644
87.4584,20.850
88.2324,22.000
89.0063,22.000
89.7803,22.000
90.5543,21.964
91.3282,22.000
92.1022,19.444
92.8762,15.952
