Distance_(microns),Gray_Value
0.0000,5.000
0.7740,5.000
1.5479,5.000
2.3219,5.000
3.0959,4.815
3.8698,4.187
4.6438,2.689
5.4178,4.439
6.1917,5.000
6.9657,5.000
7.7397,5.000
8.5136,5.000
9.2876,5.000
10.0616,5.000
10.8356,5.000
11.6095,5.000
12.3835,5.000
13.1575,5.000
13.9314,5.000
14.7054,5.000
15.4794,5.000
16.2533,5.000
17.0273,6.576
17.8013,11.000
18.5752,11.973
19.3492,16.000
20.1232,16.000
20.8971,16.000
21.6711,16.000
22.4451,16.000
23.2190,16.000
23.9930,16.000
24.7670,16.000
25.5409,16.000
26.3149,20.329
27.0889,27.344
27.8629,34.026
28.6368,38.903
29.4108,46.195
30.1848,55.049
30.9587,57.000
31.7327,52.691
32.5067,50.000
33.2806,46.870
34.0546,42.433
34.8286,39.521
35.6025,34.236
36.3765,28.000
37.1505,29.057
37.9244,31.351
38.6984,32.925
39.4724,35.607
40.2463,34.931
41.0203,34.470
41.7943,38.329
42.5682,39.370
43.3422,45.333
44.1162,56.196
44.8901,56.964
45.6641,55.066
46.4381,51.313
47.2121,48.243
47.9860,42.904
48.7600,37.938
49.5340,33.289
50.3079,28.575
51.0819,28.000
51.8559,28.000
52.6298,28.000
53.4038,28.000
54.1778,26.563
54.9517,20.660
55.7257,16.000
56.4997,16.000
57.2736,16.000
58.0476,16.000
58.8216,16.000
59.5955,16.000
60.3695,16.000
61.1435,16.000
61.9174,16.243
62.6914,20.193
63.4654,26.804
64.2393,32.645
65.0133,39.427
65.7873,51.242
66.5612,78.234
67.3352,102.723
68.1092,119.712
68.8832,130.361
69.6571,135.013
70.4311,139.437
71.2051,132.538
71.9790,131.073
72.7530,134.383
73.5270,143.188
74.3009,155.899
75.0749,165.200
75.8489,168.704
76.6228,172.266
77.3968,167.363
78.1708,155.806
78.9447,136.570
79.7187,88.634
80.4927,57.425
81.2666,49.536
82.0406,42.957
82.8146,36.930
83.5885,34.149
84.3625,35.296
85.1365,33.772
85.9105,37.076
86.6844,37.637
87.4584,36.662
88.2324,36.488
89.0063,32.790
89.7803,26.443
90.5543,17.266
91.3282,16.000
