Distance_(microns),Gray_Value
0.0000,11.000
0.7740,11.000
1.5479,11.478
2.3219,14.971
3.0959,16.000
3.8698,16.000
4.6438,16.000
5.4178,18.787
6.1917,20.381
6.9657,16.037
7.7397,16.000
8.5136,16.000
9.2876,16.000
10.0616,15.896
10.8356,16.000
11.6095,25.491
12.3835,36.319
13.1575,41.390
13.9314,43.760
14.7054,45.000
15.4794,45.000
16.2533,47.611
17.0273,58.190
17.8013,68.552
18.5752,74.739
19.3492,75.457
20.1232,83.207
20.8971,82.552
21.6711,89.004
22.4451,89.879
23.2190,88.623
23.9930,90.005
24.7670,90.000
25.5409,82.667
26.3149,71.507
27.0889,60.911
27.8629,56.573
28.6368,64.374
29.4108,66.646
30.1848,72.733
30.9587,91.399
31.7327,106.285
32.5067,105.591
33.2806,106.535
34.0546,98.923
34.8286,93.684
35.6025,88.834
36.3765,87.113
37.1505,91.045
37.9244,99.422
38.6984,114.016
39.4724,133.761
40.2463,131.978
41.0203,133.028
41.7943,124.378
42.5682,120.508
43.3422,124.701
44.1162,123.549
44.8901,152.736
45.6641,206.860
46.4381,223.348
47.2121,218.089
47.9860,218.931
48.7600,186.969
49.5340,140.496
50.3079,109.364
51.0819,95.054
51.8559,80.321
52.6298,80.414
53.4038,88.053
54.1778,95.443
54.9517,102.715
55.7257,111.706
56.4997,122.280
57.2736,129.578
58.0476,122.704
58.8216,112.531
59.5955,98.089
60.3695,74.707
61.1435,56.638
61.9174,50.000
62.6914,50.000
63.4654,50.000
64.2393,45.519
65.0133,41.732
