Distance_(microns),Gray_Value
0.0000,8.0000
0.7740,8.0000
1.5479,7.1699
2.3219,6.0466
3.0959,6.0000
3.8698,6.9193
4.6438,7.0000
5.4178,6.3327
6.1917,6.0089
6.9657,5.9060
7.7397,5.1147
8.5136,5.4378
9.2876,6.3963
10.0616,6.9634
10.8356,7.7708
11.6095,7.1976
12.3835,7.2687
13.1575,6.8153
13.9314,6.7199
14.7054,6.8287
15.4794,5.7505
16.2533,5.3435
17.0273,5.4355
17.8013,5.2297
18.5752,5.2720
19.3492,5.7399
20.1232,6.2078
20.8971,6.8949
21.6711,8.9878
22.4451,9.5364
23.2190,11.6806
23.9930,13.0945
24.7670,14.0000
25.5409,14.0000
26.3149,13.9855
27.0889,13.7447
27.8629,11.9150
28.6368,9.1203
29.4108,5.6749
30.1848,3.9946
30.9587,2.6429
31.7327,2.0000
32.5067,2.0000
33.2806,2.2097
34.0546,2.4546
34.8286,3.0161
35.6025,3.3917
36.3765,4.5517
37.1505,4.4987
37.9244,4.0308
38.6984,4.0000
39.4724,4.0000
40.2463,3.6800
41.0203,2.6800
41.7943,2.0000
42.5682,2.0000
43.3422,2.0000
44.1162,2.0000
44.8901,2.0000
45.6641,2.0000
46.4381,2.0000
47.2121,2.0000
47.9860,2.0000
48.7600,2.0000
49.5340,2.0000
50.3079,2.0000
51.0819,2.0000
51.8559,2.0000
52.6298,2.3200
53.4038,2.6800
54.1778,2.3200
54.9517,3.0000
55.7257,3.0000
56.4997,3.0000
57.2736,3.0000
58.0476,3.0000
58.8216,3.0000
59.5955,2.6800
60.3695,2.0000
61.1435,2.0000
61.9174,2.0000
62.6914,2.0000
63.4654,2.0000
64.2393,2.0000
65.0133,2.0000
65.7873,2.0000
66.5612,2.0000
67.3352,2.0000
68.1092,2.0000
68.8832,2.0000
69.6571,2.0000
70.4311,2.0000
71.2051,2.0000
71.9790,2.0000
72.7530,2.0000
73.5270,2.0000
74.3009,2.0000
75.0749,2.0000
75.8489,2.0931
76.6228,2.6246
77.3968,2.8793
78.1708,2.2569
78.9447,2.0000
79.7187,2.0000
80.4927,2.0000
81.2666,2.0000
82.0406,2.0000
82.8146,2.0000
83.5885,2.0000
84.3625,2.0000
85.1365,2.0000
85.9105,2.0000
86.6844,2.0000
87.4584,2.0000
88.2324,2.0000
89.0063,2.0000
89.7803,2.0000
90.5543,2.0000
91.3282,2.0000
92.1022,2.0000
92.8762,2.0000
