 ,X,Y,BX,BY,Width,Height
1,214,334,214,334,1,1
2,214,328,214,328,1,1
3,215,315,215,315,1,1
4,215,340,215,340,1,1
5,214,309,214,309,1,1
6,215,321,215,321,1,1
7,214,303,214,303,1,1
8,214,296,214,296,1,1
9,216,346,216,346,1,1
10,214,290,214,290,1,1
11,214,283,214,283,1,1
12,214,277,214,277,1,1
13,214,271,214,271,1,1
14,214,265,214,265,1,1
15,214,259,214,259,1,1
16,214,253,214,253,1,1
17,214,247,214,247,1,1
18,214,241,214,241,1,1
19,214,235,214,235,1,1
20,214,229,214,229,1,1
21,214,223,214,223,1,1
22,214,217,214,217,1,1
23,214,211,214,211,1,1
24,214,205,214,205,1,1
25,214,199,214,199,1,1
26,214,71,214,71,1,1
27,214,65,214,65,1,1
28,214,193,214,193,1,1
29,214,186,214,186,1,1
30,214,84,214,84,1,1
31,214,59,214,59,1,1
32,214,96,214,96,1,1
33,214,90,214,90,1,1
34,214,78,214,78,1,1
35,214,40,214,40,1,1
36,214,180,214,180,1,1
37,214,46,214,46,1,1
38,214,53,214,53,1,1
39,214,174,214,174,1,1
40,214,34,214,34,1,1
41,214,102,214,102,1,1
42,214,168,214,168,1,1
43,214,15,214,15,1,1
44,214,108,214,108,1,1
45,214,21,214,21,1,1
46,214,162,214,162,1,1
47,214,28,214,28,1,1
48,214,9,214,9,1,1
49,214,150,214,150,1,1
50,214,114,214,114,1,1
51,214,156,214,156,1,1
52,214,3,214,3,1,1
53,214,144,214,144,1,1
54,214,120,214,120,1,1
55,214,126,214,126,1,1
56,214,132,214,132,1,1
57,214,138,214,138,1,1
