 ,X,Y,BX,BY,Width,Height
1,141,109,141,109,1,1
2,141,102,141,102,1,1
3,137,129,137,129,1,1
4,141,122,141,122,1,1
5,137,148,137,148,1,1
6,141,96,141,96,1,1
7,141,89,141,89,1,1
8,135,161,135,161,1,1
9,135,142,135,142,1,1
10,140,135,140,135,1,1
11,139,116,139,116,1,1
12,130,187,130,187,1,1
13,134,174,134,174,1,1
14,131,168,131,168,1,1
15,132,155,132,155,1,1
16,129,207,129,207,1,1
17,126,201,126,201,1,1
18,130,194,130,194,1,1
19,129,181,129,181,1,1
20,120,350,120,349,1,1
21,127,220,127,220,1,1
22,124,214,124,214,1,1
23,125,233,125,233,1,1
24,122,227,122,227,1,1
25,141,83,141,83,1,1
26,118,253,118,253,1,1
27,121,240,121,240,1,1
28,140,344,140,344,1,1
29,114,286,114,286,1,1
30,122,259,122,259,1,1
31,123,246,123,246,1,1
32,141,76,141,76,1,1
33,117,273,117,273,1,1
34,117,266,117,266,1,1
35,110,325,110,325,1,1
36,111,312,111,312,1,1
37,113,299,113,299,1,1
38,110,306,110,306,1,1
39,115,280,115,280,1,1
40,110,319,110,319,1,1
41,111,293,111,293,1,1
42,110,338,110,338,1,1
43,131,331,131,331,1,1
44,141,70,141,70,1,1
45,141,63,141,63,1,1
46,141,57,141,57,1,1
47,141,50,141,50,1,1
48,141,44,141,44,1,1
49,141,37,141,37,1,1
50,141,30,141,30,1,1
51,141,23,141,23,1,1
52,141,17,141,17,1,1
53,141,10,141,10,1,1
54,141,4,141,4,1,1
55,141,0,141,0,1,1
