 ,X,Y,BX,BY,Width,Height
1,0,275,0,275,1,1
2,0,244,0,244,1,1
3,0,238,0,238,1,1
4,0,207,0,207,1,1
5,0,201,0,201,1,1
6,0,319,0,319,1,1
7,0,312,0,312,1,1
8,0,306,0,306,1,1
9,0,232,0,232,1,1
10,0,195,0,195,1,1
11,0,325,0,325,1,1
12,0,281,0,281,1,1
13,0,250,0,250,1,1
14,0,226,0,226,1,1
15,0,213,0,213,1,1
16,0,158,0,158,1,1
17,0,287,0,287,1,1
18,0,269,0,269,1,1
19,0,256,0,256,1,1
20,0,189,0,189,1,1
21,0,331,0,331,1,1
22,0,220,0,220,1,1
23,0,300,0,300,1,1
24,0,293,0,293,1,1
25,0,263,0,263,1,1
26,0,182,0,182,1,1
27,0,176,0,176,1,1
28,0,170,0,170,1,1
29,0,164,0,164,1,1
30,0,133,0,133,1,1
31,0,344,0,344,1,1
32,0,127,0,127,1,1
33,0,139,0,139,1,1
34,0,121,0,121,1,1
35,0,145,0,145,1,1
36,0,338,0,338,1,1
37,0,152,0,152,1,1
38,0,115,0,115,1,1
39,0,102,0,102,1,1
40,0,108,0,108,1,1
41,0,90,0,90,1,1
42,0,96,0,96,1,1
43,0,84,0,84,1,1
44,0,71,0,71,1,1
45,0,65,0,65,1,1
46,0,59,0,59,1,1
47,0,77,0,77,1,1
48,0,40,0,40,1,1
49,0,53,0,53,1,1
50,0,46,0,46,1,1
51,0,34,0,34,1,1
52,0,3,0,3,1,1
53,0,22,0,22,1,1
54,0,9,0,9,1,1
55,1,349,1,349,1,1
56,0,28,0,28,1,1
57,0,16,0,16,1,1
58,0,0,0,0,1,1
