 ,X,Y,BX,BY,Width,Height
1,235,254,235,254,1,1
2,229,241,229,241,1,1
3,224,228,224,228,1,1
4,212,202,212,202,1,1
5,249,287,249,287,1,1
6,244,274,244,274,1,1
7,236,268,236,268,1,1
8,238,261,238,261,1,1
9,219,215,219,215,1,1
10,254,300,254,300,1,1
11,227,248,227,248,1,1
12,216,222,216,222,1,1
13,218,208,218,208,1,1
14,208,189,208,189,1,1
15,266,319,266,319,1,1
16,256,307,256,307,1,1
17,248,294,248,294,1,1
18,249,280,249,280,1,1
19,223,235,223,235,1,1
20,203,176,203,176,1,1
21,201,169,201,169,1,1
22,268,333,268,333,1,1
23,265,327,265,327,1,1
24,259,313,259,313,1,1
25,212,195,212,195,1,1
26,202,183,202,183,1,1
27,194,163,194,163,1,1
28,196,156,196,156,1,1
29,189,150,189,150,1,1
30,189,143,189,143,1,1
31,184,130,184,130,1,1
32,276,346,276,346,1,1
33,274,339,274,339,1,1
34,183,137,183,137,1,1
35,178,117,178,117,1,1
36,180,124,180,124,1,1
37,173,111,173,111,1,1
38,172,104,172,104,1,1
39,168,98,168,98,1,1
40,162,85,162,85,1,1
41,158,78,158,78,1,1
42,166,91,166,91,1,1
43,152,65,152,65,1,1
44,147,52,147,52,1,1
45,155,71,155,71,1,1
46,141,39,141,39,1,1
47,138,32,138,32,1,1
48,150,58,150,58,1,1
49,144,45,144,45,1,1
50,135,26,135,26,1,1
51,133,19,133,19,1,1
52,129,13,129,13,1,1
53,124,6,124,6,1,1
