 ,X,Y,BX,BY,Width,Height
1,124,335,124,335,1,1
2,124,322,124,322,1,1
3,124,309,124,309,1,1
4,124,302,124,302,1,1
5,124,289,124,289,1,1
6,124,276,124,276,1,1
7,124,348,124,348,1,1
8,124,263,124,263,1,1
9,124,35,124,35,1,1
10,124,22,124,22,1,1
11,124,250,124,250,1,1
12,124,230,124,230,1,1
13,124,217,124,217,1,1
14,124,140,124,140,1,1
15,124,120,124,120,1,1
16,124,342,124,342,1,1
17,124,152,124,152,1,1
18,124,145,124,145,1,1
19,124,133,124,133,1,1
20,124,94,124,94,1,1
21,124,9,124,9,1,1
22,124,317,124,317,1,1
23,124,237,124,237,1,1
24,124,204,124,204,1,1
25,124,191,124,191,1,1
26,124,107,124,107,1,1
27,124,68,124,68,1,1
28,124,48,124,48,1,1
29,123,330,123,330,1,1
30,124,284,124,284,1,1
31,124,178,124,178,1,1
32,124,171,124,171,1,1
33,123,166,123,166,1,1
34,124,81,124,81,1,1
35,124,184,124,184,1,1
36,124,158,124,158,1,1
37,124,125,124,125,1,1
38,124,296,124,296,1,1
39,124,210,124,210,1,1
40,124,271,124,271,1,1
41,124,258,124,258,1,1
42,118,225,118,225,1,1
43,124,197,124,197,1,1
44,124,243,124,243,1,1
45,124,112,124,112,1,1
46,123,100,123,100,1,1
47,124,87,124,87,1,1
48,124,74,124,74,1,1
49,124,61,124,61,1,1
50,124,54,124,54,1,1
51,124,41,124,41,1,1
52,124,28,124,28,1,1
53,124,15,124,15,1,1
54,124,2,124,2,1,1
