 ,X,Y,BX,BY,Width,Height
1,2,9,2,9,1,1
2,2,3,2,3,1,1
3,24,37,24,37,1,1
4,17,26,17,26,1,1
5,17,20,17,20,1,1
6,28,31,28,31,1,1
7,2,15,2,15,1,1
8,25,43,25,43,1,1
9,27,49,27,49,1,1
10,48,340,48,340,1,1
11,46,346,46,346,1,1
12,47,334,47,334,1,1
13,27,54,27,54,1,1
14,47,328,47,328,1,1
15,27,60,27,60,1,1
16,44,322,44,322,1,1
17,44,316,44,316,1,1
18,30,66,30,66,1,1
19,64,177,64,177,1,1
20,64,171,64,171,1,1
21,67,183,67,183,1,1
22,66,165,66,165,1,1
23,67,154,67,154,1,1
24,67,194,67,194,1,1
25,72,189,72,189,1,1
26,74,160,74,160,1,1
27,69,200,69,200,1,1
28,41,72,41,72,1,1
29,74,206,74,206,1,1
30,48,305,48,305,1,1
31,64,148,64,148,1,1
32,70,229,70,229,1,1
33,57,95,57,95,1,1
34,55,89,55,89,1,1
35,70,223,70,223,1,1
36,74,217,74,217,1,1
37,79,131,79,131,1,1
38,61,101,61,101,1,1
39,76,125,76,125,1,1
40,69,235,69,235,1,1
41,52,83,52,83,1,1
42,64,142,64,142,1,1
43,86,114,86,114,1,1
44,52,78,52,78,1,1
45,89,137,89,137,1,1
46,83,108,83,108,1,1
47,67,241,67,241,1,1
48,75,211,75,211,1,1
49,92,120,92,120,1,1
50,47,299,47,299,1,1
51,56,293,56,293,1,1
52,67,247,67,247,1,1
53,52,270,52,270,1,1
54,33,264,33,264,1,1
55,62,258,62,258,1,1
56,66,282,66,282,1,1
57,59,276,59,276,1,1
58,65,252,65,252,1,1
