 ,X,Y,BX,BY,Width,Height
1,437,26,437,26,1,1
2,391,69,391,69,1,1
3,440,20,440,20,1,1
4,377,87,377,87,1,1
5,396,63,396,63,1,1
6,432,32,432,32,1,1
7,252,205,252,205,1,1
8,293,156,293,156,1,1
9,325,125,325,125,1,1
10,327,119,327,119,1,1
11,389,75,389,75,1,1
12,422,44,422,44,1,1
13,429,38,429,38,1,1
14,241,217,241,217,1,1
15,275,186,275,186,1,1
16,279,180,279,180,1,1
17,285,174,285,174,1,1
18,290,168,290,168,1,1
19,293,150,293,150,1,1
20,358,100,358,100,1,1
21,383,81,383,81,1,1
22,397,57,397,57,1,1
23,247,211,247,211,1,1
24,258,193,258,193,1,1
25,294,144,294,144,1,1
26,329,113,329,113,1,1
27,401,51,401,51,1,1
28,443,14,443,14,1,1
29,218,242,218,242,1,1
30,257,199,257,199,1,1
31,292,162,292,162,1,1
32,324,131,324,131,1,1
33,352,106,352,106,1,1
34,362,94,362,94,1,1
35,235,229,235,229,1,1
36,223,224,223,224,1,1
37,318,137,318,137,1,1
38,192,273,192,273,1,1
39,209,254,209,254,1,1
40,197,249,197,249,1,1
41,223,236,223,236,1,1
42,181,285,181,285,1,1
43,185,279,185,279,1,1
44,166,304,166,304,1,1
45,167,292,167,292,1,1
46,137,317,137,317,1,1
47,160,310,160,310,1,1
48,446,8,446,8,1,1
49,133,347,133,347,1,1
50,142,335,142,335,1,1
51,145,323,145,323,1,1
52,137,341,137,341,1,1
53,448,2,448,2,1,1
