 ,X,Y,BX,BY,Width,Height
1,68,77,68,77,1,1
2,111,3,111,3,1,1
3,59,97,59,97,1,1
4,79,70,79,70,1,1
5,80,57,80,57,1,1
6,88,50,88,50,1,1
7,99,23,99,23,1,1
8,49,111,49,111,1,1
9,88,37,88,37,1,1
10,92,30,92,30,1,1
11,108,16,108,16,1,1
12,104,10,104,10,1,1
13,50,124,50,124,1,1
14,48,104,48,104,1,1
15,69,90,69,90,1,1
16,60,84,60,84,1,1
17,70,64,70,64,1,1
18,95,43,95,43,1,1
19,23,171,23,171,1,1
20,29,151,29,151,1,1
21,38,131,38,131,1,1
22,37,118,37,118,1,1
23,39,144,39,144,1,1
24,15,185,15,185,1,1
25,26,178,26,178,1,1
26,11,205,11,205,1,1
27,33,164,33,164,1,1
28,23,158,23,158,1,1
29,3,212,3,212,1,1
30,15,198,15,198,1,1
31,48,137,48,137,1,1
32,1,239,1,239,1,1
33,1,232,1,232,1,1
34,6,225,6,225,1,1
35,13,218,13,218,1,1
36,6,192,6,192,1,1
37,1,259,1,259,1,1
38,3,252,3,252,1,1
39,16,245,16,245,1,1
40,1,272,1,272,1,1
41,10,305,10,305,1,1
42,21,265,21,265,1,1
43,0,346,0,346,1,1
44,2,339,2,339,1,1
45,2,326,2,326,1,1
46,5,319,5,319,1,1
47,15,285,15,285,1,1
48,1,279,1,279,1,1
49,13,312,13,312,1,1
50,20,298,20,298,1,1
51,9,292,9,292,1,1
52,8,332,8,332,1,1
