 ,X,Y,BX,BY,Width,Height
1,205,270,205,270,1,1
2,214,283,214,283,1,1
3,210,276,210,276,1,1
4,194,252,194,252,1,1
5,188,245,188,245,1,1
6,221,295,221,295,1,1
7,199,257,199,257,1,1
8,186,238,186,238,1,1
9,180,232,180,232,1,1
10,177,226,177,226,1,1
11,172,219,172,219,1,1
12,204,264,204,264,1,1
13,167,213,167,213,1,1
14,232,314,232,314,1,1
15,229,308,229,308,1,1
16,226,301,226,301,1,1
17,221,288,221,288,1,1
18,153,194,153,194,1,1
19,238,320,238,320,1,1
20,162,207,162,207,1,1
21,157,200,157,200,1,1
22,239,326,239,326,1,1
23,242,333,242,333,1,1
24,248,345,248,345,1,1
25,241,339,241,339,1,1
26,148,188,148,188,1,1
27,143,181,143,181,1,1
28,138,175,138,175,1,1
29,230,349,230,349,1,1
30,134,169,134,169,1,1
31,125,156,125,156,1,1
32,129,162,129,162,1,1
33,73,82,73,82,1,1
34,0,0,0,0,1,1
35,58,63,58,63,1,1
36,54,57,54,57,1,1
37,11,13,11,13,1,1
38,120,150,120,150,1,1
39,91,107,91,107,1,1
40,36,38,36,38,1,1
41,30,32,30,32,1,1
42,116,143,116,143,1,1
43,69,76,69,76,1,1
44,19,19,19,19,1,1
45,7,6,7,6,1,1
46,111,137,111,137,1,1
47,108,132,108,132,1,1
48,64,69,64,69,1,1
49,44,44,44,44,1,1
50,104,126,104,126,1,1
51,95,113,95,113,1,1
52,77,88,77,88,1,1
53,28,25,28,25,1,1
54,86,101,86,101,1,1
55,49,50,49,50,1,1
56,99,119,99,119,1,1
57,81,94,81,94,1,1
