 ,X,Y,BX,BY,Width,Height
1,299,342,299,342,1,1
2,304,336,304,336,1,1
3,326,349,326,349,1,1
4,308,330,308,330,1,1
5,286,311,286,311,1,1
6,284,317,284,317,1,1
7,288,305,288,305,1,1
8,309,324,309,324,1,1
9,268,286,268,286,1,1
10,291,299,291,299,1,1
11,264,292,264,292,1,1
12,271,280,271,280,1,1
13,271,274,271,274,1,1
14,247,261,247,261,1,1
15,249,255,249,255,1,1
16,230,236,230,236,1,1
17,251,249,251,249,1,1
18,231,230,231,230,1,1
19,213,205,213,205,1,1
20,231,224,231,224,1,1
21,270,268,270,268,1,1
22,210,211,210,211,1,1
23,189,186,189,186,1,1
24,192,180,192,180,1,1
25,173,161,173,161,1,1
26,251,243,251,243,1,1
27,231,218,231,218,1,1
28,213,199,213,199,1,1
29,193,174,193,174,1,1
30,168,167,168,167,1,1
31,173,155,173,155,1,1
32,152,142,152,142,1,1
33,157,136,157,136,1,1
34,212,193,212,193,1,1
35,173,149,173,149,1,1
36,135,123,135,123,1,1
37,137,117,137,117,1,1
38,158,130,158,130,1,1
39,137,111,137,111,1,1
40,113,98,113,98,1,1
41,114,92,114,92,1,1
42,108,104,108,104,1,1
43,114,86,114,86,1,1
44,102,79,102,79,1,1
45,78,66,78,66,1,1
46,104,73,104,73,1,1
47,81,60,81,60,1,1
48,82,54,82,54,1,1
49,49,47,49,47,1,1
50,54,41,54,41,1,1
51,54,35,54,35,1,1
52,54,29,54,29,1,1
53,27,22,27,22,1,1
54,27,16,27,16,1,1
55,27,10,27,10,1,1
56,27,4,27,4,1,1
57,34,0,34,0,1,1
